identifier,repaid
50000,0
50001,0
50002,0
50003,0
50004,0
50005,1
50006,1
50007,0
50008,1
50009,1
50010,1
50011,1
50012,0
50013,0
50014,1
50015,1
50016,0
50017,1
50018,0
50019,0
50020,0
50021,0
50022,1
50023,0
50024,0
50025,1
50026,1
50027,0
50028,1
50029,0
50030,0
50031,0
50032,1
50033,1
50034,0
50035,0
50036,0
50037,1
50038,0
50039,0
50040,0
50041,1
50042,0
50043,1
50044,1
50045,0
50046,1
50047,1
50048,0
50049,0
50050,1
50051,1
50052,0
50053,0
50054,1
50055,0
50056,1
50057,1
50058,1
50059,1
50060,1
50061,1
50062,0
50063,0
50064,1
50065,0
50066,1
50067,1
50068,0
50069,1
50070,1
50071,0
50072,1
50073,0
50074,0
50075,1
50076,0
50077,1
50078,1
50079,1
50080,1
50081,0
50082,0
50083,0
50084,1
50085,0
50086,0
50087,0
50088,0
50089,0
50090,0
50091,1
50092,1
50093,0
50094,1
50095,0
50096,1
50097,1
50098,1
50099,0
50100,0
50101,0
50102,0
50103,0
50104,0
50105,0
50106,0
50107,1
50108,0
50109,0
50110,1
50111,0
50112,0
50113,0
50114,0
50115,1
50116,0
50117,0
50118,0
50119,1
50120,1
50121,1
50122,1
50123,1
50124,0
50125,1
50126,1
50127,0
50128,0
50129,0
50130,0
50131,0
50132,0
50133,1
50134,0
50135,0
50136,0
50137,1
50138,1
50139,1
50140,1
50141,0
50142,0
50143,1
50144,0
50145,1
50146,1
50147,1
50148,1
50149,0
50150,1
50151,1
50152,0
50153,1
50154,0
50155,0
50156,1
50157,1
50158,0
50159,1
50160,0
50161,1
50162,1
50163,1
50164,0
50165,0
50166,0
50167,1
50168,0
50169,0
50170,1
50171,1
50172,1
50173,1
50174,1
50175,0
50176,0
50177,0
50178,1
50179,1
50180,1
50181,1
50182,1
50183,1
50184,0
50185,0
50186,0
50187,0
50188,1
50189,0
50190,1
50191,0
50192,1
50193,1
50194,1
50195,1
50196,1
50197,1
50198,0
50199,0
50200,0
50201,1
50202,0
50203,1
50204,0
50205,0
50206,0
50207,0
50208,1
50209,1
50210,0
50211,0
50212,1
50213,1
50214,0
50215,0
50216,1
50217,0
50218,0
50219,1
50220,1
50221,1
50222,0
50223,1
50224,1
50225,1
50226,1
50227,0
50228,1
50229,0
50230,1
50231,0
50232,1
50233,0
50234,1
50235,1
50236,0
50237,0
50238,0
50239,1
50240,0
50241,1
50242,1
50243,0
50244,0
50245,0
50246,0
50247,1
50248,1
50249,1
50250,0
50251,1
50252,0
50253,1
50254,0
50255,1
50256,1
50257,1
50258,1
50259,0
50260,1
50261,1
50262,1
50263,0
50264,0
50265,0
50266,1
50267,1
50268,0
50269,1
50270,1
50271,0
50272,1
50273,0
50274,1
50275,1
50276,0
50277,1
50278,1
50279,0
50280,0
50281,1
50282,0
50283,1
50284,0
50285,0
50286,0
50287,1
50288,0
50289,0
50290,1
50291,0
50292,0
50293,1
50294,0
50295,0
50296,0
50297,1
50298,1
50299,1
50300,0
50301,1
50302,1
50303,0
50304,1
50305,1
50306,0
50307,0
50308,0
50309,1
50310,1
50311,0
50312,0
50313,1
50314,0
50315,1
50316,1
50317,1
50318,1
50319,1
50320,0
50321,1
50322,1
50323,1
50324,1
50325,0
50326,1
50327,1
50328,0
50329,1
50330,0
50331,1
50332,1
50333,0
50334,1
50335,0
50336,0
50337,1
50338,0
50339,0
50340,1
50341,0
50342,0
50343,0
50344,1
50345,0
50346,1
50347,1
50348,0
50349,0
50350,0
50351,1
50352,0
50353,1
50354,1
50355,0
50356,1
50357,0
50358,1
50359,1
50360,1
50361,1
50362,1
50363,0
50364,1
50365,1
50366,0
50367,1
50368,0
50369,0
50370,0
50371,1
50372,0
50373,0
50374,1
50375,1
50376,0
50377,1
50378,1
50379,0
50380,0
50381,1
50382,1
50383,0
50384,1
50385,1
50386,0
50387,1
50388,1
50389,0
50390,0
50391,1
50392,1
50393,1
50394,0
50395,0
50396,1
50397,1
50398,1
50399,1
50400,1
50401,0
50402,1
50403,1
50404,1
50405,1
50406,1
50407,1
50408,1
50409,0
50410,0
50411,1
50412,0
50413,1
50414,1
50415,1
50416,1
50417,1
50418,0
50419,1
50420,0
50421,1
50422,1
50423,0
50424,1
50425,0
50426,1
50427,1
50428,1
50429,0
50430,1
50431,0
50432,1
50433,0
50434,1
50435,1
50436,1
50437,0
50438,1
50439,1
50440,1
50441,1
50442,1
50443,1
50444,0
50445,0
50446,0
50447,0
50448,0
50449,0
50450,0
50451,1
50452,1
50453,0
50454,1
50455,0
50456,1
50457,1
50458,0
50459,0
50460,0
50461,0
50462,1
50463,0
50464,1
50465,1
50466,0
50467,0
50468,1
50469,0
50470,0
50471,0
50472,1
50473,0
50474,0
50475,1
50476,0
50477,1
50478,1
50479,0
50480,0
50481,1
50482,0
50483,0
50484,0
50485,0
50486,1
50487,0
50488,1
50489,0
50490,0
50491,1
50492,1
50493,0
50494,0
50495,0
50496,0
50497,0
50498,0
50499,1
50500,1
50501,1
50502,0
50503,1
50504,1
50505,1
50506,0
50507,1
50508,0
50509,1
50510,1
50511,1
50512,1
50513,1
50514,0
50515,0
50516,0
50517,1
50518,0
50519,0
50520,0
50521,0
50522,0
50523,1
50524,0
50525,1
50526,1
50527,0
50528,1
50529,0
50530,0
50531,1
50532,1
50533,0
50534,0
50535,1
50536,0
50537,1
50538,1
50539,1
50540,0
50541,1
50542,1
50543,1
50544,0
50545,0
50546,1
50547,1
50548,1
50549,1
50550,0
50551,1
50552,1
50553,1
50554,1
50555,0
50556,0
50557,1
50558,1
50559,1
50560,0
50561,1
50562,1
50563,0
50564,0
50565,0
50566,0
50567,1
50568,0
50569,1
50570,1
50571,1
50572,0
50573,0
50574,0
50575,1
50576,1
50577,0
50578,0
