y_true,identifier
prepaid_card,120000
prepaid_card,120001
highstreet_card,120002
highstreet_card,120003
prepaid_card,120004
prepaid_card,120005
prepaid_card,120006
highstreet_card,120007
highstreet_card,120008
prepaid_card,120009
upmarket_card,120010
prepaid_card,120011
upmarket_card,120012
highstreet_card,120013
upmarket_card,120014
highstreet_card,120015
prepaid_card,120016
prepaid_card,120017
upmarket_card,120018
highstreet_card,120019
upmarket_card,120020
upmarket_card,120021
prepaid_card,120022
prepaid_card,120023
prepaid_card,120024
highstreet_card,120025
upmarket_card,120026
prepaid_card,120027
upmarket_card,120028
prepaid_card,120029
upmarket_card,120030
upmarket_card,120031
prepaid_card,120032
prepaid_card,120033
upmarket_card,120034
upmarket_card,120035
highstreet_card,120036
highstreet_card,120037
upmarket_card,120038
highstreet_card,120039
highstreet_card,120040
upmarket_card,120041
prepaid_card,120042
prepaid_card,120043
highstreet_card,120044
prepaid_card,120045
upmarket_card,120046
upmarket_card,120047
prepaid_card,120048
highstreet_card,120049
upmarket_card,120050
highstreet_card,120051
prepaid_card,120052
highstreet_card,120053
prepaid_card,120054
highstreet_card,120055
highstreet_card,120056
highstreet_card,120057
upmarket_card,120058
prepaid_card,120059
highstreet_card,120060
highstreet_card,120061
upmarket_card,120062
prepaid_card,120063
highstreet_card,120064
upmarket_card,120065
prepaid_card,120066
upmarket_card,120067
upmarket_card,120068
prepaid_card,120069
prepaid_card,120070
upmarket_card,120071
highstreet_card,120072
upmarket_card,120073
highstreet_card,120074
upmarket_card,120075
highstreet_card,120076
upmarket_card,120077
upmarket_card,120078
prepaid_card,120079
prepaid_card,120080
upmarket_card,120081
prepaid_card,120082
highstreet_card,120083
upmarket_card,120084
prepaid_card,120085
highstreet_card,120086
upmarket_card,120087
highstreet_card,120088
highstreet_card,120089
upmarket_card,120090
upmarket_card,120091
highstreet_card,120092
upmarket_card,120093
upmarket_card,120094
highstreet_card,120095
prepaid_card,120096
upmarket_card,120097
highstreet_card,120098
upmarket_card,120099
highstreet_card,120100
upmarket_card,120101
highstreet_card,120102
highstreet_card,120103
upmarket_card,120104
prepaid_card,120105
upmarket_card,120106
highstreet_card,120107
prepaid_card,120108
highstreet_card,120109
upmarket_card,120110
upmarket_card,120111
upmarket_card,120112
upmarket_card,120113
prepaid_card,120114
prepaid_card,120115
upmarket_card,120116
prepaid_card,120117
prepaid_card,120118
highstreet_card,120119
prepaid_card,120120
prepaid_card,120121
upmarket_card,120122
highstreet_card,120123
highstreet_card,120124
upmarket_card,120125
upmarket_card,120126
prepaid_card,120127
prepaid_card,120128
upmarket_card,120129
prepaid_card,120130
highstreet_card,120131
highstreet_card,120132
highstreet_card,120133
upmarket_card,120134
prepaid_card,120135
highstreet_card,120136
upmarket_card,120137
highstreet_card,120138
prepaid_card,120139
upmarket_card,120140
upmarket_card,120141
highstreet_card,120142
highstreet_card,120143
prepaid_card,120144
prepaid_card,120145
highstreet_card,120146
highstreet_card,120147
prepaid_card,120148
highstreet_card,120149
prepaid_card,120150
upmarket_card,120151
highstreet_card,120152
highstreet_card,120153
prepaid_card,120154
highstreet_card,120155
upmarket_card,120156
upmarket_card,120157
prepaid_card,120158
prepaid_card,120159
highstreet_card,120160
upmarket_card,120161
upmarket_card,120162
upmarket_card,120163
upmarket_card,120164
highstreet_card,120165
upmarket_card,120166
upmarket_card,120167
prepaid_card,120168
prepaid_card,120169
prepaid_card,120170
upmarket_card,120171
upmarket_card,120172
highstreet_card,120173
upmarket_card,120174
upmarket_card,120175
highstreet_card,120176
highstreet_card,120177
highstreet_card,120178
highstreet_card,120179
highstreet_card,120180
upmarket_card,120181
prepaid_card,120182
highstreet_card,120183
prepaid_card,120184
upmarket_card,120185
prepaid_card,120186
highstreet_card,120187
upmarket_card,120188
upmarket_card,120189
prepaid_card,120190
highstreet_card,120191
highstreet_card,120192
prepaid_card,120193
highstreet_card,120194
upmarket_card,120195
highstreet_card,120196
upmarket_card,120197
highstreet_card,120198
upmarket_card,120199
upmarket_card,120200
upmarket_card,120201
upmarket_card,120202
upmarket_card,120203
highstreet_card,120204
prepaid_card,120205
prepaid_card,120206
upmarket_card,120207
highstreet_card,120208
upmarket_card,120209
highstreet_card,120210
prepaid_card,120211
highstreet_card,120212
upmarket_card,120213
upmarket_card,120214
prepaid_card,120215
upmarket_card,120216
highstreet_card,120217
